"","ensembl","beta","p.value","prod"
"10108","FBgn0053158",0.0150584805104121,0.00104614545529061,0.0448804146861262
"3476","FBgn0030993",0.0219231248479367,0.00108061496081808,0.0650312015346807
"10380","FBgn0085256",0.047866061753559,0.00109079390508993,0.14179159072649
"8898","FBgn0040551",0.0167428800596406,0.00111033571295128,0.0494676041396366
"5290","FBgn0034140",0.0384508394591593,0.00113311599147603,0.113265623339245
"9257","FBgn0050026",0.0665398379326095,0.00114123075254282,0.195801892668613
"1622","FBgn0020416",0.0443453839324849,0.00118811860942962,0.129716465302391
"1308","FBgn0014865",0.0897427184100435,0.00121328554546603,0.261693085242601
"5430","FBgn0034394",0.0161492769049841,0.00128810261837875,0.0466722102414946
"2353","FBgn0027836",0.0114158014111325,0.00136232654010035,0.0327144765224219
"4611","FBgn0032899",0.0170530189205672,0.00139829031106186,0.0486761824250122
"6378","FBgn0036101",0.0161511839056132,0.00149087828688665,0.0456522550134114
"6031","FBgn0035501",0.0182916580980232,0.00150651381114329,0.0516195508786036
"2055","FBgn0026084",0.0140510538637501,0.00156461158983877,0.0394215447847621
"259","FBgn0001225",0.0348459393301736,0.00157556810005901,0.0976579340216437
"10745","FBgn0259736",0.0109890556015648,0.00158307702742839,0.0307748277203667
"4687","FBgn0033065",0.014773258635354,0.00164283094484286,0.0411347666073491
"8170","FBgn0039024",0.0279482703095287,0.00165899296137487,0.0777005362023671
"6382","FBgn0036106",0.027362403046663,0.00167398734960038,0.0759648120357448
"2908","FBgn0030029",0.0140724270366854,0.00179770569778199,0.0386327722682896
"11513","FBgn0265413",0.026020094296618,0.00181714229963779,0.0713109582621574
